Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
r-p1FVTT-xA,How to Build My Little Pony MLP Rainbow Dash Spin n Slide  Play Set,2018-05-18T23:28:22Z,12649782,38502,13534,2.84
7BrXtRKv7i4,Natal BigLar,2018-11-26T14:07:47Z,83357,10,0,
5MoBgeGZ5NY,How to Make DIY Jurassic World Dinosaurs Nail Polish Makeovers,2018-08-06T20:58:18Z,312573,1367,341,4.01
iKuukjsPePI,"Epres Panni vagyok, főállású modell és édesanya",2018-06-07T13:49:34Z,274281,76,10,7.6
IuPpDBuxWrY,INSTAGRAM + STORIES: Las mejores Apps y filtros para un FEED DE BLOGGERA | Sara Bruno,2018-04-19T15:08:53Z,14334,465,21,22.14
cHLARX7YR7Q,"NOVITA'  La Via del Tè,  Firenze 2018",2018-10-31T16:10:52Z,59258,81,2,40.5
pDMNLyTbz58,Coxinha de chocolate recheada com morango,2018-09-06T15:41:35Z,308162,24388,473,51.56
SsflKnS9JiM,How to get an outfit for just £50 w/ Billy Menezes | Fashion Magic: a new Depop series,2018-11-16T12:42:21Z,31960,22,1,22
wp-UNKIojr8,UM WTF IS THIS...?! FLESH BEAUTY REVIEW! | Thomas Halbert,2018-08-03T20:22:10Z,245976,10539,446,23.63
bs_aQ0rIFns,Distintos TIPOS de ONDAS con EL MISMO RIZADOR 🖤 | Sara Bruno,2018-01-17T11:55:36Z,15432,457,37,12.35
N3z65vVJDmM,How to Build My Little Pony MLP Tinker Play Sets,2018-05-06T18:00:01Z,1850338,3825,1353,2.83
kudqr-yns2A,How to Make Play Doh Kitchen Creations Ice Cream & Popsicles Deserts,2018-02-20T12:50:06Z,206879,782,259,3.02
QxakBoVObkM,"How to Make Play Doh Minnie and Mickey Mouse Stamp, Mold & Cuts",2018-02-14T21:29:09Z,4598572,12591,5783,2.18
M09zqqFMKrY,GoPro: How To - Update Your GoPro,2018-09-04T16:24:35Z,90393,282,78,3.62
S400wb3sM8w,PRO-TIP: How To Stay Warm While Riding Your Motorcycle,2018-12-07T14:49:34Z,64869,5,0,
