Video ID,Video Title,Publish Date,View Count,Like Count,Dislike Count,Like-dislike Ratio
mwtFhU3swmM,InnerSpace: Into the Inverse Launch Trailer - Nintendo Switch,2018-01-03T22:42:14Z,168219,4971,152,32.7
Y4Mn9Jt7zxw,YO-KAI WATCH BLASTERS - Launch Trailer - Nintendo 3DS,2018-09-07T13:00:09Z,150459,3281,194,16.91
aMj6iwjtJo0,Broforce - Launch Trailer - Nintendo Switch,2018-09-06T15:00:00Z,81979,3866,148,26.12
w_coIKWg0Xo,Don’t Starve: Nintendo Switch Edition Announcement & Release Date Trailer -  Nintendo Switch,2018-04-05T17:00:05Z,168416,4900,85,57.65
7Wtfkl-g-VE,"Pokémon: Let’s Go, Pikachu! and Pokémon: Let’s Go, Eevee! - Overview Trailer - Nintendo Switch",2018-11-16T14:00:00Z,1544087,19357,1513,12.79
rIobkznIcyc,Minecraft The Deep End SMP Episode 4: World Map,2018-06-03T07:38:23Z,97301,3692,20,184.6
mqfqMeJHB_A,Street Fighter 30th Anniversary Collection Launch Trailer - Nintendo Switch,2018-05-29T17:00:06Z,148255,4203,191,22.01
NIgZKHJmTLM,Kirby Star Allies: Accolades Trailer - Nintendo Switch,2018-03-23T16:00:02Z,520364,4440,154,28.83
xJa8qwSOTNk,Dead Cells - Animated Trailer - Nintendo Switch,2018-08-03T22:12:17Z,210423,8743,107,81.71
pd2cVVT1PWQ,Official Call of Duty®: WWII - Blitzkrieg Community Event Trailer,2018-04-17T17:17:39Z,394758,14904,960,15.53
dM94ZFIfj6k,Cefalopop – En directo desde el Campeonato Europeo de Splatoon,2018-04-13T15:00:04Z,376551,9086,194,46.84
R1oubrekpo0,The World Ends with You: Final Remix - Pinning Down Battle - Info Trailer - Nintendo Switch,2018-10-04T14:00:02Z,134868,3541,120,29.51
ffvg7cR68-Q,Official Call of Duty®: Black Ops 4 Zombies – Voyage of Despair,2018-05-17T17:36:58Z,4785693,140722,19051,7.39
zCot9TDoA-M,Official Call of Duty ®: Black Ops 4 Zombies — Blood of the Dead Teaser Trailer,2018-05-17T17:39:53Z,2004839,80244,3339,24.03
dwwGum_IwhU,Hollow Knight Gameplay - Nintendo Treehouse: Live | E3 2018,2018-06-18T18:49:52Z,140010,2811,106,26.52
sVoLlGls278,Mario + Rabbids Kingdom Battle: Donkey Kong Reveal Trailer - Nintendo Switch,2018-01-12T14:00:09Z,1400184,9727,934,10.41
AsJyVsQNJUg,Katamari Damacy Reroll - Nintendo Switch | Nintendo Direct 9.13.2018,2018-09-19T00:20:27Z,81419,1244,76,16.37
lQXFnNaq3CU,Captain Toad: Treasure Tracker - Tráiler general (Nintendo Switch & Nintendo 3DS),2018-06-20T13:00:11Z,120883,1870,43,43.49
C7Z0kmbxwgE,Mario Tennis Aces - Blooper - Nintendo Switch,2018-06-18T18:39:34Z,398074,5005,194,25.8
-3KmbzLlOEc,Battle Chasers: Nightwar Launch Trailer - Nintendo Switch,2018-05-15T17:34:49Z,87111,1925,71,27.11
PpcPK2okylM,LIMBO Launch Trailer - Nintendo Switch,2018-06-28T16:19:14Z,86458,2752,64,43
I2sumrltHrA,GERMAN ME ENGAÑO CON UNA ALFOMBRA,2018-01-14T03:08:35Z,1213200,90965,1448,62.82
qJqOLKcjRpw,CO ZA POCISK *zniszczony* - Twitch / Funny Moments,2018-09-24T09:15:22Z,121279,3475,81,42.9
_N-v7hSVtJQ,2018 Splatoon 2 World Championships - Finals - Round 7 - Nintendo E3 2018,2018-06-14T19:24:15Z,924458,10458,383,27.31
YKMobKPUIEk,WWE 2K19 - Rey Mysterio Pre-Order Trailer | PS4,2018-06-27T00:46:40Z,988201,28035,735,38.14
TCs4u--3FBk,VIDEOS MÁS ESCALOFRIANTES DEL INTERNET,2018-02-11T19:00:00Z,276112,24408,264,92.45
1GrsVmwwPAg,Pokémon: Let’s Go! - Play with Pokémon GO & Poké Ball Plus - Nintendo Switch,2018-11-30T22:00:00Z,4568536,18501,2947,6.28
CLQ9z5JVDIs,Official Call of Duty®: Black Ops 4 – Multiplayer Beta Trailer,2018-07-30T16:58:44Z,1834853,63716,7109,8.96
8ylGtCsupYI,Ondakika ( Funny Moments 100 ),2018-03-29T09:00:01Z,950002,30715,886,34.67
3whpoTYKE9k,"Pokémon: Let's Go, Pikachu! y Pokémon: Let's Go, Eevee! - Tráiler de lanzamiento (Nintendo Switch)",2018-11-16T09:00:00Z,311482,1438,50,28.76
tMGT09yDS8o,GRIS - Release Date Trailer - Nintendo Switch,2018-11-07T13:00:07Z,183705,7878,99,79.58
961F-VtoaYo,SNK 40th ANNIVERSARY COLLECTION - Launch Trailer - Nintendo Switch,2018-11-13T15:00:01Z,139638,1896,180,10.53
MbW9yZoS_2c,ME CONVIERTO en GUEST666... *lo siento*😭,2018-04-20T17:22:52Z,1232922,156239,2091,74.72
cN60IInnqWs,LA EXTRAÑA JUGADORA QUE APARECE EN MIS VIDEOS 😰 | ROBLOX,2018-02-09T15:56:57Z,3512460,405591,7255,55.91
al_VfSvILOo,SE UNEN HACKERS A MI JUEGO..😨 | ROBLOX★,2018-07-15T00:58:43Z,4555051,349423,8876,39.37
ZL9m37XX784,PRZYGODY Z PIWEM - Twitch / Funny Moments,2018-07-30T07:29:10Z,66814,1953,30,65.1
reZ4Zsq0F8M,TROLLOWANIE DONEJTAMI - Twitch / Funny Moments,2018-02-15T08:13:45Z,118065,2554,86,29.7
hg-aQ9_aQMg,LE HACKEO LA CUENTA A MI AMIGO! | ROBLOX★,2018-07-21T21:53:32Z,357182,45122,1304,34.6
Vi-FfUSUaAM,Official Call of Duty®: Black Ops 4 Zombies - IX,2018-05-17T17:29:36Z,2084998,60614,10549,5.75
0JG5Y7ZWvWU,Overcooked 2! – Gameplay Features Trailer | PS4,2018-07-26T13:00:01Z,111507,1426,65,21.94
REj6uj9n6Vk,Donkey Kong Country Tropical Freeze - Meet the Kongs: Dixie Kong - Nintendo Switch,2018-05-01T16:32:05Z,156395,2832,97,29.2
Tpzh5iwfBq8,Minecraft The Deep End SMP Episode 6: Funneh Llamas,2018-06-08T03:01:53Z,373104,7344,203,36.18
2N1A5U2HZGg,PUBG Daily Funny WTF Moments Highlights Ep 432,2018-11-07T20:01:25Z,68040,1117,47,23.77
mHFvvMJQGZg,"New Gold Wireless Headset - Launch Video | PS4, PS VR",2018-03-02T18:44:52Z,221365,4684,142,32.99
bw2FGSAsz8s,Donkey Kong Country Tropical Freeze – Meet the Kongs: Cranky Kong – Nintendo Switch,2018-05-02T16:00:03Z,128247,2248,75,29.97
fe4Nb9nGLJE,Super Smash Bros. Ultimate Gameplay Pt. 7 - Nintendo Treehouse: Live | E3 2018,2018-06-15T01:49:35Z,173359,2885,86,33.55
wDuurpo8RQA,FAR CRY 5 - Teleshop unboxing - The Father Edition [HD] | MAGYAR SZINKRONNAL | Ubisoft,2018-02-27T07:48:29Z,846845,189,6,31.5
TV97T4Ci1mA,Donkey Kong Country: Tropical Freeze - Meet the Kongs: Donkey Kong - Nintendo Switch,2018-04-18T17:35:34Z,191721,4425,98,45.15
D4z-aPY7l5o,Nintendo Switch Swap Challenge – Nintendo Minute,2018-02-02T23:00:01Z,145470,3109,223,13.94
XXoeSYi_vcA,Official Call of Duty®: Black Ops 4 — Power in Numbers Cinematic,2018-05-17T18:02:19Z,1811124,47441,9007,5.27
g38R6rKLlME,Minecraft Bed Wars: Is This Guy Hacking? (Funny Moments),2018-12-18T04:39:54Z,34206,1628,19,85.68
fRytISngluc,『マリオカート８ デラックス』に『ゼルダの伝説 ブレス オブ ザ ワイルド』の「マスターバイク零式」登場,2018-07-20T01:00:02Z,193312,2424,59,41.08
n9T1Fv3zRN4,NBA Playgrounds 2 Announcement Trailer - Nintendo Switch,2018-04-18T20:31:17Z,142580,2820,426,6.62
o6mtJKbfK0s,Speed Brawl - Animated Launch Trailer,2018-09-18T14:47:47Z,199996,144,9,16
CRuHg1dv8MI,Nintendo Direct 9.13.2018,2018-09-13T22:42:12Z,3434080,71026,5988,11.86
R5-bCCYZ_74,【フォートナイト】フォートナイトでかくれんぼしてみたｗｗｗ【ゆっくり実況】,2018-12-07T11:58:18Z,1145371,7224,254,28.44
OyQc_P0uwi8,PlayLink - Frantics Launch Trailer | PS4,2018-03-01T01:05:22Z,137876,1163,75,15.51
O8QansbvhLQ,NUNCA JUEGUES a ESTE MEEPCITY..😨| ROBLOX★,2018-08-08T21:26:30Z,1223684,150696,2603,57.89
FaXe7LL5VWU,24/7 Final Fantasy Community Stream - FF7-7R-8-9-10-12-13-15 Walkthroughs By Dansg08 - Description,2018-08-03T00:44:44Z,4571562,21610,963,22.44
wardmBnjHnU,OCTOPATH TRAVELER - Tráiler presentación (Nintendo Switch),2018-07-13T13:00:06Z,66865,908,28,32.43
pBJYubppMpE,JUEGO ROBLOX A LAS 3:33AM *Esto Es Lo Que Pasa* 😰,2018-01-31T15:01:20Z,1123461,98521,2781,35.43
c0ktyHdjwdc,Minecraft Murder Mystery: New Maps! (Hide and Seek),2018-07-22T02:48:46Z,42810,2647,15,176.47
IzlNzDE9Db8,Splatoon 2 - Octoling 3-Pack - New amiibo,2018-10-11T09:00:00Z,398441,9381,249,37.67
vD7UKo5DbQg,EFSANE KADRO İLE PUBG! w/Rammus53-KendineMuzisyen-Mithrain(Şive Yarışı) #4,2018-06-20T14:20:54Z,462019,7646,195,39.21
OyNUpdhpHww,LLEGAN LOS ALIENS de JAILBREAK A MI JUEGO en ROBLOX  B,2018-03-18T19:49:27Z,728515,31086,874,35.57
oxVOWW1ZHYs,Screencheat: Unplugged - Launch Trailer - Nintendo Switch,2018-11-29T14:00:09Z,105947,2909,110,26.45
L-3Ydlhy7l4,PUBG Daily Funny WTF Moments Highlights Ep 409,2018-10-14T15:57:51Z,95023,1566,60,26.1
7jOU2EpXKo4,YA NUNCA JUEGUES a Meep City 😨 | ROBLOX★,2018-07-06T00:24:47Z,1292517,142945,3723,38.4
JeGNt4WjC-M,EL 99% no CONOCE este JUEGO... *es real*😕,2018-03-28T21:44:14Z,1025377,148927,2192,67.94
MR2NlJ9hm_A,💀ME CONVIERTO EN LYNA ROBLOX Y PASA ESTO.. 💀,2018-02-19T16:07:26Z,2152281,378535,7424,50.99
10rRSsSDRyk,PUBG WTF Funny Moments Highlights Ep 153 (playerunknown's battlegrounds Plays),2018-01-06T00:04:32Z,222345,2482,126,19.7
sv2jxqYT9IQ,Americas Cardroom: Jeff Gross on his Cage Live experience,2018-10-01T14:30:20Z,53911,131,5,26.2
8-5yoE07amg,VIAJAMOS a JAPON en ROBLOX 🙂/ Roleplay,2018-05-17T22:27:59Z,944519,53580,929,57.67
dAbBDFkn8Qk,Meet a Minecrafter: Immersive Minds' Refugee Crisis Map,2018-12-10T16:20:05Z,120934,4477,749,5.98
yBXc6aVl2e8,Fortnite Gameplay - Nintendo Treehouse: Live | E3 2018,2018-06-13T00:45:41Z,332982,5249,562,9.34
3zmTIZ0YEt0,Kirby Star Allies “Heroes” - Nintendo Switch,2018-03-16T16:00:43Z,901804,3996,282,14.17
msMS0ijfzTw,ENCUENTRO a EL CREADOR de Meep City (ROBLOX)😱,2018-06-10T23:42:06Z,1254341,99468,3223,30.86
AUTqh5RN11o,Minecraft The Deep End SMP Episode 32: Tear Attack,2018-08-12T06:24:13Z,65847,3070,30,102.33
HfIi-KqmjF8,Mario Kart 8 Deluxe – Guía de las opciones de control (Nintendo Switch),2018-04-24T12:00:00Z,107966,1073,76,14.12
QJAIH2KSNhQ,COMO ENCONTRAR a JOHN DOE en JAILBREAK..*es real*😨,2018-06-09T21:13:28Z,415565,40403,1033,39.11
QwoqIheCD6k,The Death of the Assassin's Creed Franchise,2018-06-20T13:00:03Z,12416,557,32,17.41
RsLx_8iboeg,SI JUEGAS en ESTE HOSPITAL ten CUIDADO... *por favor*😨,2018-03-29T23:47:42Z,579592,72599,867,83.74
